SYMBOL,BME01 ,BME02,BMe6,UMe7 ,UMe8,UMe9 
HBB,7102.461621,20789.61498,31272.85569,14527.90823,31185.57328,20742.47098
HBG2,99908.94826,67692.64773,48761.14645,85431.69956,76193.08919,60049.51355
HDHD2,759.2278444,1201.484267,866.6917662,6928.069313,5675.591988,4678.077001
HDLBP,25281.45252,740.0870694,3177.709665,3460.795974,8950.771114,1420.106176
HEATR5A,9613.468843,14952.20909,33289.2096,3296.548149,1911.905708,3745.521909
HEBP2,4405.614672,2165.085492,11977.93409,17989.05161,32202.91417,27211.32884
HEG1,75007.42621,76887.65835,93717.13778,313251.7723,329456.2838,457981.141
HFE,20329.65114,13900.48168,11146.67146,42719.29097,14644.94607,22280.94823
HGD,2465.987244,271641.339,3115.208096,330092.1901,4099.697527,177944.0531
HGF,20052.70528,39361.7225,23811.77083,41591.18145,490463.2184,187474.2236
HGFAC,82972.61429,66311.56418,73565.9528,72947.67072,139717.3879,58314.92179
HGS,77882.07396,12428.83729,49996.42277,68126.61379,55569.726,49258.36188
HINT1,15700.69058,41655.34693,27792.50953,72874.66711,64020.32598,44327.29584
HINT3,4031.024378,14751.67638,76411.8015,6371.143605,41334.64269,578.6773698
HIP1,13245.16644,1968.088954,2177.651467,6003.786233,19224.6474,9628.173731
HK1,19620.32082,15372.73551,32452.89742,83891.81087,89623.73278,59705.15334
HLA-A,106376.1392,22218.6474,99216.76803,446028.2162,1208842.101,961949.4394
HLA-B,18004.86862,21590.52995,5714.91139,28787.78139,40661.83797,35390.62978
HLA-C,109418.9995,364862.3592,23318.09251,982519.1749,140665.1048,1484607.592
HM13,13682.43756,10292.51162,33690.83106,70973.11209,258048.6474,166199.2468
HMGCS1,4436.115949,3916.464366,506.580947,5409.624881,7137.496992,5940.862247
HNRNPA1,861.073794,800.9172551,5622.206805,7467.929825,3423.783087,2468.619295
HNRNPC,3728.50904,2142.057518,6641.017394,8046.616211,76544.1363,39098.89571
HNRNPH1,8184.636277,854.6651715,3918.393208,10387.34455,10897.60154,10095.25015
HNRNPH3,17514.40413,13245.3758,13237.26357,1816.260146,6212.171283,42985.34767
HNRNPK,124410.7056,115781.8977,367862.3282,1324965.103,1073177.294,733442.4825
HNRNPM,17046.83131,12611.15465,4396.066324,47995.80532,16265.28245,37671.81285
HNRNPR,8153.16982,2995.984812,8649.170553,20673.90938,6919.050491,5291.082924
HP,199501.3253,120226.5571,110525.4423,166724.3341,114070.4772,79281.80836
HPCAL1,52694.08263,61247.49637,249470.6504,438033.4377,330858.4035,401514.6904
HPRT1,880.0533666,7052.545088,13289.72864,64979.04697,37900.10856,29573.11942
HPX,948120.3905,538885.5104,396278.24,385814.8213,406853.595,207199.3914
HRAS,3662.290228,21432.67352,34149.44798,6871.920169,7020.852817,220357.0547
HRG,800.1065759,14144.63338,65775.06786,31737.39188,6305.084506,39402.64807
HRH1,10029.87019,1147.100889,6411.606797,35748.66696,13737.76427,39935.85395
HSD17B10,9146.152607,6034.093974,13593.05182,91745.62959,78372.2022,71941.95023
HSD17B12,22340.65373,11680.36646,15777.24253,40962.5522,51100.83977,27884.99016
HSP90AA1,180948.1329,180972.5333,237434.3461,510821.8819,446785.4469,331897.5985
HSP90AB1,261218.6703,246639.1216,464769.5879,1809853.882,1803691.459,1578524.018
HSP90B1,190529.8841,167051.0331,292423.4843,1806511.291,1375613.615,1330378.704
HSPA13,17032.94931,16344.46368,13525.4183,40733.31349,41504.70593,27395.26943
HSPA1B,1485369.388,894142.262,887522.0415,2700955.449,1763317.38,2021379.216
HSPA2,41139.17481,17869.61686,31175.5336,196514.9128,203889.5027,113415.4688
HSPA4,36531.90305,38016.72476,36307.86226,273694.7599,167014.6379,158134.5688
HSPA5,91314.16495,117374.5667,191115.8032,999353.593,722662.5935,657751.4737
HSPA8,1820483.111,1132733.6,1875183.422,10921065.05,8285349.235,9375254.618
HSPA9,343494.5887,435439.7504,220442.7454,1113703.319,839367.9787,889895.2656
HSPB1,284928.3841,113064.7924,108353.81,463861.8801,228812.0401,377989.6873
HSPB6,3084.810867,17066.25111,52044.86644,37322.7239,70361.8346,46851.00264
HSPBP1,23635.64869,7139.461727,33422.62349,57127.48826,59801.678,68352.22695
HSPD1,40736.94573,38245.33146,55997.41836,337802.4342,340826.2275,213885.6654
HSPE1,81249.80336,79527.49451,103048.9413,453769.6714,508349.5296,331273.1316
HSPG2,2189938.257,1866958.124,4766119.642,4267874.837,11801158.94,5304031.155
